conf,session,session_dir,n_files,n_bad_files,n_utts,n_idea,n_nodes,n_moves,n_speakers_idea,n_roster,roster_match_rate,unmatched_speakers,speaking_seconds,n_links,n_unresolved_moves,basis_named_speaker,basis_on_table_idea,basis_nearest_prior,pct_named_speaker,pct_nearest_prior,pct_links_to_extracted,has_teams,num_teams,num_funded_teams,is_focal,ok_complete,ok_material,ok_group,ok_length,ok_roster,ok_grounded,eligible
2022MND,2022_04_08_MND_S11,outputs/2022MND/output_2022_04_08_MND_S11,8,0,191,43,11,36,9,9,1.0,,0,40,0,6,11,23,0.15,0.575,0.2,True,2,0,False,True,True,True,True,True,False,False
2022MND,2022_04_08_MND_S12,outputs/2022MND/output_2022_04_08_MND_S12,1,0,12,0,0,0,0,4,0.0,,0,0,0,0,0,0,0.0,1.0,0.0,False,0,0,False,True,False,False,False,False,False,False
2022MND,2022_04_08_MND_S2,outputs/2022MND/output_2022_04_08_MND_S2,8,0,257,59,13,49,8,10,1.0,,0,52,0,10,30,12,0.192,0.231,0.192,False,0,0,False,True,True,True,False,True,True,False
2022MND,2022_04_08_MND_S3,outputs/2022MND/output_2022_04_08_MND_S3,8,0,208,58,11,51,5,8,1.0,,0,58,0,12,27,19,0.207,0.328,0.224,False,0,0,False,True,True,False,True,True,True,False
2022MND,2022_04_08_MND_S4,outputs/2022MND/output_2022_04_08_MND_S4,8,0,151,65,17,53,9,12,1.0,,0,61,0,12,38,11,0.197,0.18,0.197,True,1,0,False,True,True,True,True,True,True,True
2022MND,2022_04_08_MND_S5,outputs/2022MND/output_2022_04_08_MND_S5,8,1,133,24,6,19,8,12,1.0,,0,19,0,7,8,4,0.368,0.211,0.368,True,3,1,False,False,False,True,True,True,True,False
2022MND,2022_04_08_MND_S6,outputs/2022MND/output_2022_04_08_MND_S6,1,0,5,0,0,0,0,3,0.0,,0,0,0,0,0,0,0.0,1.0,0.0,False,0,0,False,True,False,False,False,False,False,False
2022MND,2022_04_08_MND_S7,outputs/2022MND/output_2022_04_08_MND_S7,8,0,167,49,16,35,7,9,1.0,,0,40,0,11,23,6,0.275,0.15,0.3,True,1,1,False,True,True,False,True,True,True,False
2022MND,2022_04_08_MND_S8,outputs/2022MND/output_2022_04_08_MND_S8,8,1,207,29,5,24,8,10,1.0,,0,25,1,1,17,7,0.04,0.28,0.04,True,1,0,False,False,False,True,True,True,True,False
2022MND,2022_04_08_MND_S9,outputs/2022MND/output_2022_04_08_MND_S9,8,1,156,48,7,41,8,9,1.0,,0,43,1,5,28,10,0.116,0.233,0.116,False,0,0,False,False,True,True,True,True,True,False
