conf,session,session_dir,n_files,n_bad_files,n_utts,n_idea,n_nodes,n_moves,n_speakers_idea,n_roster,roster_match_rate,unmatched_speakers,speaking_seconds,n_links,n_unresolved_moves,basis_named_speaker,basis_on_table_idea,basis_nearest_prior,pct_named_speaker,pct_nearest_prior,pct_links_to_extracted,has_teams,num_teams,num_funded_teams,is_focal,ok_complete,ok_material,ok_group,ok_length,ok_roster,ok_grounded,eligible
2021CMC,2021_10_08_CMC_S13,outputs/2021CMC/output_2021_10_08_CMC_S13,8,0,199,54,16,38,10,11,1.0,,0,37,1,9,16,12,0.243,0.324,0.27,True,2,1,False,True,True,True,True,True,True,True
2021CMC,2021_10_08_CMC_S14,outputs/2021CMC/output_2021_10_08_CMC_S14,8,0,215,46,7,39,9,11,1.0,,0,38,1,4,19,15,0.105,0.395,0.158,True,2,1,False,True,True,True,True,True,False,False
2021CMC,2021_10_08_CMC_S2,outputs/2021CMC/output_2021_10_08_CMC_S2,8,0,257,60,16,45,10,12,1.0,,0,45,0,6,14,25,0.133,0.556,0.156,True,1,0,False,True,True,True,False,True,False,False
2021CMC,2021_10_08_CMC_S3,outputs/2021CMC/output_2021_10_08_CMC_S3,8,0,272,67,17,53,10,13,1.0,,0,59,0,13,31,15,0.22,0.254,0.22,True,1,1,False,True,True,True,False,True,True,False
2021CMC,2021_10_08_CMC_S4,outputs/2021CMC/output_2021_10_08_CMC_S4,8,0,152,45,13,32,9,9,1.0,,0,31,1,4,20,7,0.129,0.226,0.129,True,1,1,False,True,True,True,True,True,True,True
2021CMC,2021_10_08_CMC_S5,outputs/2021CMC/output_2021_10_08_CMC_S5,8,0,214,45,13,34,10,17,1.0,,0,36,0,5,20,11,0.139,0.306,0.139,True,3,2,False,True,True,True,True,True,True,True
2021CMC,2021_10_08_CMC_S6,outputs/2021CMC/output_2021_10_08_CMC_S6,8,0,164,25,5,20,8,12,1.0,,0,20,0,3,11,6,0.15,0.3,0.25,True,2,0,False,True,False,True,True,True,True,False
2021CMC,2021_10_08_CMC_S7,outputs/2021CMC/output_2021_10_08_CMC_S7,8,0,168,17,5,12,7,12,1.0,,0,11,1,1,6,4,0.091,0.364,0.091,True,2,0,False,True,False,False,True,True,False,False
2021CMC,2021_10_08_CMC_S8,outputs/2021CMC/output_2021_10_08_CMC_S8,8,0,161,40,18,23,9,9,1.0,,0,23,0,1,7,15,0.043,0.652,0.043,False,0,0,False,True,True,True,True,True,False,False
2021CMC,2021_10_08_CMC_S9,outputs/2021CMC/output_2021_10_08_CMC_S9,8,0,270,55,20,35,12,12,1.0,,0,35,0,8,15,12,0.229,0.343,0.257,True,2,0,False,True,True,True,False,True,True,False
2021MND,2021_04_22_MND_S1,outputs/2021MND/output_2021_04_22_MND_S1,8,0,136,26,11,15,9,12,1.0,,0,16,0,2,11,3,0.125,0.188,0.125,True,1,1,False,True,False,True,True,True,True,False
2021MND,2021_04_22_MND_S2,outputs/2021MND/output_2021_04_22_MND_S2,1,0,1,0,0,0,0,1,0.0,,0,0,0,0,0,0,0.0,1.0,0.0,False,0,0,False,True,False,False,False,False,False,False
2021MND,2021_04_22_MND_S3,outputs/2021MND/output_2021_04_22_MND_S3,9,0,133,72,18,55,10,10,1.0,,0,59,1,10,37,12,0.169,0.203,0.169,True,1,0,False,True,True,True,True,True,True,True
2021MND,2021_04_22_MND_S4,outputs/2021MND/output_2021_04_22_MND_S4,8,0,149,35,11,24,9,12,1.0,,0,24,0,3,5,16,0.125,0.667,0.125,True,1,1,False,True,True,True,True,True,False,False
2021MND,2021_04_22_MND_S5,outputs/2021MND/output_2021_04_22_MND_S5,8,0,141,42,17,25,6,6,1.0,,0,25,0,0,8,17,0.0,0.68,0.0,False,0,0,False,True,True,False,True,True,False,False
2021MND,2021_04_22_MND_S6,outputs/2021MND/output_2021_04_22_MND_S6,3,0,28,1,1,0,1,12,1.0,,0,0,0,0,0,0,0.0,1.0,0.0,False,0,0,False,True,False,False,False,True,False,False
2021MND,2021_04_22_MND_S7,outputs/2021MND/output_2021_04_22_MND_S7,8,0,152,48,9,39,10,12,1.0,,0,39,0,4,14,21,0.103,0.538,0.103,True,2,0,False,True,True,True,True,True,False,False
2021MND,2021_04_22_MND_S8,outputs/2021MND/output_2021_04_22_MND_S8,9,2,141,58,16,49,8,10,1.0,,0,54,0,14,22,18,0.259,0.333,0.259,True,3,0,False,False,True,True,True,True,True,False
2021MND,2021_04_23_MND_S1,outputs/2021MND/output_2021_04_23_MND_S1,8,0,166,58,18,44,10,13,1.0,,0,47,0,16,21,10,0.34,0.213,0.362,True,3,0,False,True,True,True,True,True,True,True
2021MND,2021_04_23_MND_S10,outputs/2021MND/output_2021_04_23_MND_S10,7,0,159,30,10,20,9,14,1.0,,0,20,0,0,13,7,0.0,0.35,0.05,False,0,0,False,True,False,True,True,True,True,False
2021MND,2021_04_23_MND_S11,outputs/2021MND/output_2021_04_23_MND_S11,7,1,154,46,12,34,7,8,1.0,,0,38,0,19,16,3,0.5,0.079,0.5,True,3,1,False,False,True,False,True,True,True,False
2021MND,2021_04_23_MND_S12,outputs/2021MND/output_2021_04_23_MND_S12,7,0,141,46,9,38,9,11,1.0,,0,41,0,13,23,5,0.317,0.122,0.366,True,1,0,False,True,True,True,True,True,True,True
2021MND,2021_04_23_MND_S13,outputs/2021MND/output_2021_04_23_MND_S13,7,1,125,36,9,31,9,14,1.0,,0,31,0,8,14,9,0.258,0.29,0.258,False,0,0,False,False,True,True,True,True,True,False
2021MND,2021_04_23_MND_S14,outputs/2021MND/output_2021_04_23_MND_S14,7,0,176,60,16,46,6,10,1.0,,0,46,1,15,22,9,0.326,0.196,0.326,True,1,0,False,True,True,False,True,True,True,False
2021MND,2021_04_23_MND_S15,outputs/2021MND/output_2021_04_23_MND_S15,7,0,170,47,11,37,10,12,1.0,,0,38,0,8,29,1,0.211,0.026,0.211,False,0,0,False,True,True,True,True,True,True,True
2021MND,2021_04_23_MND_S16,outputs/2021MND/output_2021_04_23_MND_S16,7,0,111,26,9,17,9,12,1.0,,0,17,0,0,13,4,0.0,0.235,0.0,True,3,0,False,True,False,True,True,True,True,False
2021MND,2021_04_23_MND_S2,outputs/2021MND/output_2021_04_23_MND_S2,7,0,135,39,8,31,8,12,1.0,,0,30,1,3,15,12,0.1,0.4,0.167,True,2,1,False,True,True,True,True,True,False,False
2021MND,2021_04_23_MND_S3,outputs/2021MND/output_2021_04_23_MND_S3,7,0,94,21,6,16,9,13,1.0,,0,16,0,5,5,6,0.312,0.375,0.375,True,2,0,False,True,False,True,True,True,False,False
2021MND,2021_04_23_MND_S4,outputs/2021MND/output_2021_04_23_MND_S4,9,0,155,30,6,24,6,10,1.0,,0,23,1,2,11,10,0.087,0.435,0.087,False,0,0,False,True,False,False,True,True,False,False
2021MND,2021_04_23_MND_S5,outputs/2021MND/output_2021_04_23_MND_S5,7,0,128,33,8,25,9,14,1.0,,0,25,0,1,11,13,0.04,0.52,0.08,True,2,1,False,True,False,True,True,True,False,False
2021MND,2021_04_23_MND_S6,outputs/2021MND/output_2021_04_23_MND_S6,7,0,157,18,6,12,7,11,1.0,,0,12,0,1,7,4,0.083,0.333,0.25,True,2,0,False,True,False,False,True,True,True,False
2021MND,2021_04_23_MND_S7,outputs/2021MND/output_2021_04_23_MND_S7,7,0,117,26,9,17,9,9,1.0,,0,17,0,4,5,8,0.235,0.471,0.235,True,1,0,False,True,False,True,True,True,False,False
2021MND,2021_04_23_MND_S8,outputs/2021MND/output_2021_04_23_MND_S8,8,1,115,47,9,41,8,9,1.0,,0,43,0,11,23,9,0.256,0.209,0.279,False,0,0,False,False,True,True,True,True,True,False
2021MND,2021_04_23_MND_S9,outputs/2021MND/output_2021_04_23_MND_S9,7,0,144,58,16,44,10,11,1.0,,0,50,0,11,31,8,0.22,0.16,0.22,True,2,0,False,True,True,True,True,True,True,True
2021MZT,2021_09_30_MZT_S1,outputs/2021MZT/output_2021_09_30_MZT_S1,2,0,24,8,3,6,7,9,1.0,,0,7,0,2,4,1,0.286,0.143,0.286,True,2,1,False,True,False,False,False,True,True,False
2021MZT,2021_09_30_MZT_S2,outputs/2021MZT/output_2021_09_30_MZT_S2,6,0,128,63,12,56,10,11,1.0,,0,62,1,14,38,10,0.226,0.161,0.226,True,1,0,False,True,True,True,True,True,True,True
2021MZT,2021_09_30_MZT_S3,outputs/2021MZT/output_2021_09_30_MZT_S3,6,0,92,34,12,23,10,13,1.0,,0,24,0,6,17,1,0.25,0.042,0.25,True,1,0,False,True,False,True,True,True,True,False
2021MZT,2021_09_30_MZT_S4,outputs/2021MZT/output_2021_09_30_MZT_S4,6,0,135,58,8,53,9,10,1.0,,0,58,0,12,27,19,0.207,0.328,0.207,True,1,0,False,True,True,True,True,True,True,True
2021MZT,2021_09_30_MZT_S5,outputs/2021MZT/output_2021_09_30_MZT_S5,6,0,126,61,16,51,9,12,1.0,,0,54,0,10,37,7,0.185,0.13,0.222,True,2,2,False,True,True,True,True,True,True,True
2021MZT,2021_09_30_MZT_S6,outputs/2021MZT/output_2021_09_30_MZT_S6,7,0,140,60,12,51,9,10,1.0,,0,54,0,15,21,18,0.278,0.333,0.278,True,1,1,False,True,True,True,True,True,True,True
2021MZT,2021_09_30_MZT_S7,outputs/2021MZT/output_2021_09_30_MZT_S7,17,1,329,96,27,74,22,27,1.0,,0,82,0,26,43,13,0.317,0.159,0.317,True,8,5,False,False,True,False,False,True,True,False
2021MZT,2021_10_01_MZT_S1,outputs/2021MZT/output_2021_10_01_MZT_S1,10,1,146,49,13,40,8,12,1.0,,0,42,1,12,18,12,0.286,0.286,0.31,True,2,0,False,False,True,True,True,True,True,False
2021MZT,2021_10_01_MZT_S10,outputs/2021MZT/output_2021_10_01_MZT_S10,7,0,161,36,9,30,8,8,1.0,,0,32,1,7,23,2,0.219,0.062,0.219,True,2,1,False,True,True,True,True,True,True,True
2021MZT,2021_10_01_MZT_S11,outputs/2021MZT/output_2021_10_01_MZT_S11,7,0,149,36,13,24,8,8,1.0,,0,25,0,8,13,4,0.32,0.16,0.32,True,2,2,False,True,True,True,True,True,True,True
2021MZT,2021_10_01_MZT_S12,outputs/2021MZT/output_2021_10_01_MZT_S12,10,3,79,29,5,24,8,10,1.0,,0,25,0,4,18,3,0.16,0.12,0.16,True,2,2,False,False,False,True,False,True,True,False
