term,coef,se,z,p_value
Intercept,-0.9965747186624775,1.751230609270435,-0.5690710939992374,0.5693078940433363
C(conference_id)[T.2021ABI],-1.0418977825410796,0.9069520156978446,-1.1487904150468229,0.2506424126374762
C(conference_id)[T.2021CMC],-0.3377480534312817,0.9368131879518923,-0.36052871348842064,0.7184517880469937
C(conference_id)[T.2021MND],-1.6281702992675358,0.941890800845899,-1.7286189628408077,0.08387731348752504
C(conference_id)[T.2021MZT],-0.023985246631130396,0.932510161937572,-0.025721163811549024,0.9794797431598237
C(conference_id)[T.2021NES],-0.16237254100693366,0.9167335941860705,-0.17712074918678797,0.859413544100523
C(conference_id)[T.2021SLU],-0.01748843860957468,0.8808212734826014,-0.01985469599346606,0.9841592853728042
C(conference_id)[T.2022MND],-0.25104115954309836,1.016235053636666,-0.24703060443027483,0.8048845389977815
session_middle_num_Evaluation_Practices,-0.43221402936675624,0.400246913524202,-1.0798684880817233,0.28020074751397805
session_mean_num_Evaluation_Practices,0.2886112238453894,0.5566679510136133,0.5184620801680235,0.6041359104906134
session_mean_dissent_was_present,-19.69132396068614,10.799992007838883,-1.8232720863491125,0.06826219182489247
session_mean_dissent_response_exploratory,12.250078395207025,10.209487414870075,1.199872030535523,0.23018904403043827
session_delta_num_Relational_Climate,-0.006015607358304968,0.09784848864519968,-0.061478796878689304,0.9509779000989089
session_middle_num_Knowledge_Sharing,0.15289907446427062,0.2587635250392578,0.5908834115668884,0.5545985414689097
session_mean_num_Knowledge_Sharing,-0.2907719819896121,0.3208171233053556,-0.9063480745472979,0.3647516473741693
session_end_num_Relational_Climate,0.12909535806032083,0.11733250368825418,1.1002523086298395,0.2712222051791624
session_middle_dissent_was_present,5.269848819581012,2.6325749482549594,2.0017849152117044,0.04530786901662654
session_mean_meeting_structure_quality,1.9400564553933872,1.1395959906265332,1.7024072314669803,0.08867905538016943
