feature,coef,pvalue,stars,label
n_sessions_attended,0.3836698287174679,0.0011039453382122877,**,N Sessions Attended
speaking_minutes_total,0.9565956754117141,5.5364400968404656e-08,***,Speaking Minutes Total
ever_dominant_speaker,-0.4376953060415536,0.00022806616800477466,***,Dominant Speaker
ever_complementarity_recognition,-0.04010615021297366,0.7058477672181328,,Complementarity Recognition
ever_cross_disciplinary_bridging,0.30054765885263374,0.006665635569355116,**,Cross-Disciplinary Bridging
ever_commitment_signal,0.0755717794926806,0.4541107439948917,,Commitment Signal
