feature,coef,pvalue,stars,label
n_sessions_attended,0.3822872662665831,0.0010634635388287188,**,N Sessions Attended
speaking_minutes_total,1.0221355803343966,2.1924098976522685e-08,***,Speaking Minutes Total
n_dominant_speaker,-0.6170270319392106,2.0069659311096562e-06,***,Dominant Speaker
n_complementarity_recognition,-0.10229705156069238,0.42799687392516383,,Complementarity Recognition
n_cross_disciplinary_bridging,0.3823075162847415,0.01613972652768133,*,Cross-Disciplinary Bridging
n_commitment_signal,0.07672643525357704,0.455816220522531,,Commitment Signal
