target,sample,n_rows,feature_count,accuracy_loco_pooled,f1_loco_pooled,auc_loco_pooled,auprc_loco_pooled
outcome_joined_team,non_facilitator_only,580,60,0.7517241379310344,0.7419354838709677,0.8331430474287618,0.8121971892813573
outcome_joined_team,all_rows,639,61,0.7793427230046949,0.7513227513227513,0.8580597456373854,0.807444762722275
outcome_joined_funded_team,non_facilitator_only,580,16,0.7172413793103448,0.5176470588235295,0.7680341386286744,0.447409049655106
outcome_joined_funded_team,all_rows,639,17,0.7245696400625978,0.5111111111111111,0.794629440403919,0.4486919524583882
