Model,Outcome,R²/AUC,CV_Mean,CV_Std,Perm_P_Value
Linear Regression,num_teams,0.29479753160851796,-0.30868711578754854,0.5313145140089087,N/A
Ridge Regression,num_teams,0.01858205332328955,-0.30868711578754854,0.5313145140089087,N/A
Random Forest,num_teams,0.8799480462448467,-0.30868711578754854,0.5313145140089087,N/A
Logistic Regression,has_team,0.6914285714285714,0.5267619047619048,0.0693240116705915,0.071
Ridge Logistic,has_team,0.49142857142857144,0.4174285714285714,0.07194628255647503,0.543
Random Forest,has_team,1.0,0.5433333333333333,0.11150152780544242,0.0
